"ExternalKey","PromoCode","Name","EventType","StartDate","EndDate","Mechanics","DisplayType","CustomerStatus"
"NVGMYP00000000453669","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453670","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453671","CDMQ4'24","2024_Q4_Perfect Store_CDM Small Bar_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453672","HallsQ4'24","2024_Q4_Perfect Store_Halls XS_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453677","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Aeon Big","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453679","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Aeon Big","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453684","CDMQ4'24","2024_Q4_Perfect Store_CDM Small Bar_MT_Giant","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453685","HallsQ4'24","2024_Q4_Perfect Store_Halls XS_MT_Giant","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453697","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_LOTUSS","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453698","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_LOTUSS","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453706","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Mydin ","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453707","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Mydin","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453715","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Purveyor","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453716","CDMQ1'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Purveyor","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453748","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 40G_CDM Small Bar_MT_Trendcell","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453749","CDMQ4'24","2024_Q4_Flowback for CDM Bubbly 87G_CDM Mid Bar_MT_Trendcell","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453750","OTHQ4'24","2024_Q4_Perfect Store_CDM AU_MT_Trendcell","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000453782","CDMQ4'24","2024_Q4_Perfect Store_CDM Mid Bar_MT_LOTUSS","Trade Spend Only","01/10/2024","31/12/2024","Price-Off","","Sent for confirmation"
"NVGMYP00000000454213","CMOREQ4'24","2024_Q4_Coverage_Chipsmore Mid Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454214","CMOREQ4'24","2024_Q4_Coverage_Chipsmore Mini_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454215","OREOQ4'24","2024_Q4_Coverage_Oreo HS_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454216","TIGERQ4'24","2024_Q4_Coverage_Tiger Small Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454217","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mini MP_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454218","OREOQ4'24","2024_Q4_MMM_Oreo FS_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454219","OREOQ4'24","2024_Q4_Coverage_Oreo FS_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454220","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mid Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454221","OREOQ4'24","2024_Q4_MMM_Oreo MP_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454222","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mini_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454226","JACOBQ4'24","2024_Q4_Perfect Store_Jacobs Baked Crisps Small Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454227","CMOREQ4'24","2024_Q4_Renovation_Chipsmore Mid Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454228","CMOREQ4'24","2024_Q4_Renovation_Chipsmore Mini MP_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454229","CMOREQ4'24","2024_Q4_Renovation_Chipsmore Mini_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454230","TIGERQ4'24","2024_Q4_Renovation_Tiger Basic_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454231","TIGERQ4'24","2024_Q4_Renovation_Tiger Mid Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454234","TIGERQ4'24","2024_Q4_Renovation_Tiger MP_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454235","TIGERQ4'24","2024_Q4_Renovation_Tiger Small Pack_MT_7-11","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000464536","TFPMAILER","FY2024_TFP_MDLZ_TTA_MAILER FEE_2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464537","TFPNSO","FY2024_TFP_MDLZ_TTA_NEW STORE OPENING_2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464538","2024","FY2024_TFP_CAD_TTA_DISPLAY FEE_2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464540","TFPNSO","FY2024_TFP_MDLZ_TTA_DISPLAY FEE_2024 ","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464541","TFPNSO","FY2024_TFP_MDLZ_TTA_MAILER FEE_2024 ","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464542","TFPNSO","FY2024_TFP_MDLZ_TTA_NEW STORE OPENING_2024 ","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464544","TRENCDISP","FY2024_TRENCELL_CAD_TTA_DISPLAY FEE_2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464545","TRENCNSO","FY2024_TRENCELL_CAD_TTA_NEW STORE OPENING_2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464547","TRENCDISP","FY2024_TRENCELL_MDLZ_TTA_DISPLAY FEE_2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000464550","TRENCNSO","FY2024_TRENCELL_MDLZ_TTA_NEW STORE OPENING_2024","Trade Spend Only","01/01/2024","31/12/2024","NA","","Sent for confirmation"
"NVGMYP00000000465451","SNA 10","OCT24_AEON_MONDELEZ_TWISTIES CHEEZELS 60G_BUY 2 @ RM3.50_12%","Default","01/10/2024","20/12/2024","NA","Homeshelf","Sent for confirmation"
"NVGMYP00000000454312","CMOREQ4'24","2024_Q4_Coverage_Chipsmore Mini MP_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454313","JACOBQ4'24","2024_Q4_Coverage_Jacobs Value Pack_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454314","OREOQ4'24","2024_Q4_Coverage_Oreo FS_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454315","OREOQ4'24","2024_Q4_Coverage_Oreo MP_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454316","TIGERQ4'24","2024_Q4_Coverage_Tiger Mid Pack_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454317","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mid Pack_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454318","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mini MP_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454320","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mini_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454321","OREOQ4'24","2024_Q4_MMM_Oreo FS_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454322","OREOQ4'24","2024_Q4_MMM_Oreo MP_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454326","OREOQ4'24","2024_Q4_Perfect Store_Oreo FS_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454327","CMOREQ4'24","2024_Q4_Renovation_Chipsmore Mid Pack_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454328","CMOREQ4'24","2024_Q4_Renovation_Chipsmore Mini MP_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454329","CMOREQ4'24","2024_Q4_Renovation_Chipsmore Mini_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454330","TIGERQ4'24","2024_Q4_Renovation_Tiger Basic_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454331","TIGERQ4'24","2024_Q4_Renovation_Tiger Mid Pack_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454332","TIGERQ4'24","2024_Q4_Renovation_Tiger MP_MT_99 Speedmart","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
"NVGMYP00000000454397","CMOREQ4'24","2024_Q4_MMM_Chipsmore Mid Pack_MT_Aeon","Building Block","01/10/2024","31/12/2024","Others","","Sent for confirmation"
